2023-01-02,-0.0535
2023-01-03,0
2023-01-04,-0.0017
2023-01-05,-0.0616
2023-01-06,0.2112
2023-01-09,-0.004
2023-01-10,0.0007
2023-01-11,0.0005
2023-01-12,0.0103
2023-01-13,0.0634
2023-01-16,0
2023-01-17,-0.0022
2023-01-18,-0.0014
2023-01-19,-0.0009
2023-01-20,-0.0041
2023-01-23,-0.0111
2023-01-24,-0.0203
2023-01-25,-0.0044
2023-01-26,0.0009
2023-01-27,0.0019
2023-01-30,-0.0068
2023-01-31,-0.0495
2023-02-01,0.011
2023-02-02,0.0502
2023-02-03,-0.5109
2023-02-06,-0.0913
2023-02-07,-0.0238
2023-02-08,-0.0128
2023-02-09,-0.0057
2023-02-10,-0.0207
2023-02-13,0
2023-02-14,0.0028
2023-02-15,-0.0353
2023-02-16,-0.0568
2023-02-17,-0.0044
2023-02-20,0.0065
2023-02-21,-0.0065
2023-02-22,-0.002
2023-02-23,-0.0016
2023-02-24,-0.0024
2023-02-27,0
2023-02-28,0.0011
2023-03-01,-0.001
2023-03-02,0.0004
2023-03-03,-0.0142
2023-03-06,0.0006
2023-03-07,-0.0025
2023-03-08,-0.0003
2023-03-09,0.0005
2023-03-10,-0.0007
2023-03-13,-0.011
2023-03-14,-0.0045
2023-03-15,-0.0082
2023-03-16,-0.0091
2023-03-17,-0.0024
2023-03-20,-0.0017
2023-03-21,-0.03
2023-03-22,-0.0079
2023-03-23,-0.1965
2023-03-24,-0.306
2023-03-27,-0.1088
2023-03-28,-0.002
2023-03-29,-0.0016
2023-03-30,-0.0069
2023-03-31,0.0019
2023-04-03,0
2023-04-04,0.0095
2023-04-05,0.4779
2023-04-06,0.0044
2023-04-07,-0.0041
2023-04-10,-0.0255
2023-04-11,-0.0297
2023-04-12,0.0014
2023-04-13,-0.0165
2023-04-14,-0.0021
2023-04-17,-0.0097
2023-04-18,0.004
2023-04-19,0.0004
2023-04-20,-0.0099
2023-04-21,-0.0271
2023-04-24,0
2023-04-25,-0.0506
2023-04-26,-0.0025
2023-04-27,-0.0017
2023-04-28,-0.006
2023-05-01,-0.0155
2023-05-02,-0.1862
2023-05-03,-0.1826
2023-05-04,-0.0905
2023-05-05,-0.0336
2023-05-08,-0.0064
2023-05-09,-0.0024
2023-05-10,-0.0003
2023-05-11,-0.0377
2023-05-12,-0.0014
2023-05-15,-0.0099
2023-05-16,-0.0042
2023-05-17,-0.0072
2023-05-18,-0.0014
2023-05-19,-0.0413
2023-05-22,0.0019
2023-05-23,-0.0016
2023-05-24,0.0011
2023-05-25,-0.0022
2023-05-26,0.0018
2023-05-29,-0.0074
2023-05-30,0.0549
2023-05-31,0.035
2023-06-01,-0.0099
2023-06-02,-0.0031
2023-06-05,-0.0169
2023-06-06,-0.003
2023-06-07,0.0014
2023-06-08,-0.0152
2023-06-09,-0.0037
2023-06-12,0
2023-06-13,0.007
2023-06-14,0.0081
2023-06-15,0.0031
2023-06-16,0.032
2023-06-19,0.0004
2023-06-20,0
2023-06-21,-0.002
2023-06-22,-0.0318
2023-06-23,-0.0012
2023-06-26,-0.5037
2023-06-27,-0.0067
2023-06-28,-0.0173
2023-06-29,-0.0012
2023-06-30,-0.0015
2023-07-03,0.0032
2023-07-04,0.0121
2023-07-05,0.0045
2023-07-06,0.0928
2023-07-07,0.6625
2023-07-10,0
2023-07-11,0.0055
2023-07-12,-0.0166
2023-07-13,-0.002
2023-07-14,0.0171
2023-07-17,-0.0184
2023-07-18,-0.1206
2023-07-19,-0.0086
2023-07-20,-0.0028
2023-07-21,-0.0017
2023-07-24,-0.0014
2023-07-25,0.0182
2023-07-26,-0.0076
2023-07-27,0.0062
2023-07-28,0.116
2023-07-31,-0.1738
2023-08-01,-0.0313
2023-08-02,0.0168
2023-08-03,-0.019
2023-08-04,0.001
2023-08-07,0.0081
2023-08-08,0.0052
2023-08-09,-0.0295
2023-08-10,-0.022
2023-08-11,-0.2054
2023-08-14,-0.0284
2023-08-15,-0.0007
2023-08-16,-0.0064
2023-08-17,0.0015
2023-08-18,-0.0018
2023-08-21,0.0026
2023-08-22,-0.0279
2023-08-23,-0.0026
2023-08-24,0.0083
2023-08-25,-0.0026
2023-08-28,0
2023-08-29,-0.0013
2023-08-30,0.0004
2023-08-31,-0.0042
2023-09-01,-0.0015
2023-09-04,0
2023-09-05,0
2023-09-06,-0.0072
2023-09-07,0.0051
2023-09-08,-0.0011
2023-09-11,0.0103
2023-09-12,-0.0007
2023-09-13,0.0008
2023-09-14,0.0258
2023-09-15,-0.0097
2023-09-18,-0.0071
2023-09-19,-0.0007
2023-09-20,0.0007
2023-09-21,-0.0023
2023-09-22,-0.0112
2023-09-25,0.0022
2023-09-26,-0.0007
2023-09-27,-0.0038
2023-09-28,-0.0008
2023-09-29,-0.0085
2023-10-02,-0.0064
2023-10-03,-0.2454
2023-10-04,-0.0191
2023-10-05,0.1857
2023-10-06,-0.0076
2023-10-09,-0.1037
2023-10-10,-0.0019
2023-10-11,0.0002
2023-10-12,-0.0109
2023-10-13,-0.0202
2023-10-16,-0.0284
2023-10-17,-0.0044
2023-10-18,-0.0034
2023-10-19,-0.0237
2023-10-20,-0.0119
2023-10-23,-0.001
2023-10-24,-0.0674
2023-10-25,-0.0018
2023-10-26,0.0009
2023-10-27,-0.1159
2023-10-30,-0.0088
2023-10-31,-0.0142
2023-11-01,-0.002
2023-11-02,-0.0047
2023-11-03,-0.0228
2023-11-06,-0.0007
2023-11-07,-0.0013
2023-11-08,-0.0048
2023-11-09,-0.0028
2023-11-10,-0.0104
2023-11-13,0
2023-11-14,-0.0028
2023-11-15,0.0063
2023-11-16,-0.0016
2023-11-17,-0.0004
2023-11-20,0
2023-11-21,0.0073
2023-11-22,-0.0411
2023-11-23,-0.0093
2023-11-24,0
2023-11-27,0
2023-11-28,-0.0027
2023-11-29,-0.0595
2023-11-30,-0.0535
2023-12-01,-0.1402
2023-12-04,0
2023-12-05,-0.1189
2023-12-06,-0.0019
2023-12-07,-0.0023
2023-12-08,0.0003
2023-12-11,0
2023-12-12,-0.047
2023-12-13,0.0057
2023-12-14,-0.0245
2023-12-15,0.0854
2023-12-18,-0.0032
2023-12-19,-0.0133
2023-12-20,-0.0033
2023-12-21,-0.0374
2023-12-22,0.0151
2023-12-25,0
2023-12-26,-0.0085
2023-12-27,0.0014
2023-12-28,-0.0048
2023-12-29,-0.0338
2024-01-01,-0.1102
2024-01-02,0
2024-01-03,-0.0008
2024-01-04,-0.016
2024-01-05,0.4229
2024-01-08,0
2024-01-09,0.0138
2024-01-10,-0.0119
2024-01-11,-0.0227
2024-01-12,-0.0006
2024-01-15,0
2024-01-16,-0.0029
2024-01-17,-0.0435
2024-01-18,-0.1137
2024-01-19,0.0076
2024-01-22,-0.0007
2024-01-23,0.0005
2024-01-24,0.0027
2024-01-25,-0.108
2024-01-26,-0.0101
2024-01-29,-0.0088
2024-01-30,0.0016
2024-01-31,0.0068
2024-02-01,-0.0018
2024-02-02,0.01
2024-02-05,0.0284
2024-02-06,-0.0308
2024-02-07,-0.0952
2024-02-08,0.3329
2024-02-09,0.0487
2024-02-12,0
2024-02-13,-0.0092
2024-02-14,0.0132
2024-02-15,0.002
2024-02-16,-0.0095
2024-02-19,-0.0018
2024-02-20,-0.0011
2024-02-21,-0.0183
2024-02-22,-0.0019
2024-02-23,-0.0105
2024-02-26,-0.0021
2024-02-27,-0.0261
2024-02-28,0.001
2024-02-29,-0.2705
2024-03-01,-0.0063
2024-03-04,-0.0034
2024-03-05,0.5785
2024-03-06,0.0119
2024-03-07,-0.0055
2024-03-08,0.004
2024-03-11,0.0339
2024-03-12,-0.0632
